Comment	Sentiment	Score
공부 얼굴색 거짓말 불리 상대 오늘 내일 거짓말 공부 좌파 공부	0	-2
거짓말 대한 판검사 깡통 촛불 태위	0	-1
범죄자 부인 장모 비호	0	-1
욕심	0	-1
정책 필요 페미 지지율	0	-1
사기 케이 방역 종말	0	-1
승리	0	-1
모두 동네 이름 진실 부산 저축 대출 사건	1	1
생일 케잌 축하 카드	1	1
소리 소리 인재 서문 다음 죄명 행실 거짓말 가을	0	-1
바람 걱정	0	-1
걱정 부패 자본 세력 결탁 부태 거짓 언론	0	-2
복기왕 스트레스	0	-1
피로감	0	-1
질병 보건복지부 신천지	0	-1
세상 처음 소름 소리	0	-1
부정	0	-1
가짜 총각 가짜 검사 가짜 교인 죄명 가짜 인생	0	-4
공정 수사 감옥	0	-1
개새끼 걱정	0	-1
고인 명복 축하	1	1
거짓말 선방	0	-1
민국 안보 평화 축복 영원 하늘 영광 축복	1	3
대표 창녀 쥴리 로비 보도	0	-1
눈물	0	-1
고집 아집 우파 깽판	0	-1
악몽	0	-1
대장동 개발 투자금 이익금 배분 성남 설립 자본금 성남 도시 개발 공사 하나은행 컨소시엄 출발 설립 자본금 성남 법인체 기본 자본금 개발 투자금 하나은행 컨소시엄 마련 투자금 이익금 추정 성남시 이익 환수 현금 배당 현물 공사비 하나은행 컨소시움 하나은행 금융 화천 대유 천화 동인 성남 이익 환수 현물 공사비 기부 체납 별도 환수 대장 개발 지구 성남 시민 인프라 구축 성남시 공단 공원 조성 사업 배수지 설치 사업 고속 도로 확장 사업 북측 터널 개설 사업 성남시 설립 자본금 출자 투자금 사용 개발 이익금 환수 도시 개발 역사 최초	1	2
부정	0	-1
시판 축하	1	1
거짓 선동 스스로 남부 물타기	0	-1
재앙 걱정 감방 준비	0	-2
저주	0	-1
사드 한국 입장 북한 미사일 중국 입장 중국 감시 미친놈 중국 레이다 사드 중공 입장 대변 정상 중국 국익 대변 사드 중국 감시 북한 미사일 주한 미군 보호 역적 무역 분쟁 정부 잘못 일본 우익 입장 사드 문제 중국 입장 일본 일본 입장 외교 기본 무식 끝판왕 완전 역적	1	1
부정	0	-1
사법부 조중동 선동 창녀 공화국 줄리 로비	0	-1
송영길 아너 모습 이제 의회 독재 아웃	0	-1
개발 시장 결정 절대 사업 대장동 범죄자 당연	0	-1
가수 망신 남자 망신 국가 망신 패가망신	0	-3
거짓말	0	-1
친북 친중 반미 기본 중공 북괴 간첩 연관 총선 부정 등장 중공 개표 방호 등장	0	-1
진실	1	1
거짓말 소름	0	-2
원본 보존 가치 보관	1	1
분립 최악	0	-1
선장 운행 승선 진정 사랑	1	1
눈물 피눈물 죄명	0	-2
상습 거짓 선동 짓거리 심판	0	-1
주가조작 김건희 극우 영부인 축하	1	1
후회 손가락	0	-1
