Comment	Sentiment	Score
상식 이득 세상	1	1
에이 게놈 악마	0	-1
유동규도 김문기 바보 거짓말 수사 변호 민낯 그때 거짓말	0	-3
머저리 특검 동의	0	-1
유구 무언 수사 적폐 재앙	0	-1
얼굴 철판 거짓말	0	-1
전과 김부선 불륜 형수 쌍욕 부인 공무원 조폭 시장 책상 경기도 공금 사용 맘대르 ㆍ화천대유 정직 모습 진실 모습	1	1
도둑	0	-1
지조 적극	1	1
정신 범죄자	0	-1
용기	1	1
경제 사회 실무 지식 꼬락서니	0	-1
노정 구속 선관위 해체 불법 부정	0	-2
실망	0	-1
검찰 비판	0	-1
범인 김혜경 죄명 죄명 진절머리	0	-2
충격 방송국 직원 내부 고발 출처본좌 스튜디오	0	-1
오늘 뉴스 감사 수고	1	1
한숨	0	-1
부정 산불 정신 산불 좌파 죄인 사형 총선 물류 창고 물류 창고 부정 투표함	0	-2
부정 혐의자 선관위 범죄자 행위 범죄 부정행위 행위 부정 부정 범죄 판단 문제 제기 지적 고발 최종 사법부 판단 방법 원칙 권력 사법부 불의 혁명	0	-7
괴물 아수라 폭주	0	-1
밀짚 인형 저주 재명이 선대위 상임 위원장 수준	0	-1
머리 지지자 정신 승리	0	-1
정의 거짓말 김혜경 왕국 성남시장 경기도지사 전쟁	0	-1
불륜 혈세 불법 혈세 카드 처방	0	-1
죄명 연구 대상	1	1
승리 권력	0	-1
상대방 세상 천지 악마 한국	0	-1
가치 기호 허경영 유권자 애국자 선관위	1	1
국회 의원 제주 지사 법안 공동 발의 사실 개발 사업자 이익 보전 법안 토지 수용 보상금 대신 토지 형태 대토보 면적 기존 완화 내용	1	1
먼개소리냐 주가조작 부동산 사기 악마	0	-1
수치 악질 토사 집단 골통 아너 취급 파리 취급 골통 취급 자리 부족 행세 골통 노예 심부름 노비 나머지 토사 팽이 기장 직행 중생 파리 취급 수치 악질 심술 토사 집단 골통 잘못 골통 탐욕 욕심 사리 탐욕 악질 악질 심술 토사 집단 소리	0	-5
미소 모습 소년 명복	1	1
세계 망신	0	-1
애국지사 부정 진실 부정 사전 개표 조작 방지 노력 시국 지도부 사전 독려 제정신	0	-1
부정 사형 선고 당장 아내 라미 촛불	0	-1
상처	0	-1
약점	0	-1
죄명 혜경 도둑	0	-1
중단 거리 부정 저항 봉기 의지 부정	0	-2
상대 비하 최고	1	1
야바위 진실 여기저기 인성 대장동	1	1
사이비 무당 청와대 굿판 사이비 무속인 서병열이 리재 마고할매 무당 어머니 노릇 최근 저주인형 저주 의식 조부 무덤 식칼 노릇	0	-1
부정 근거 혼란	0	-1
감옥 해명	0	-1
악마 집단 거짓 위선 집단	0	-2
가난 불량 식품	0	-2
타이핑 시선 강탈	0	-1
대표 창녀 쥴리 로비 보도	0	-1
관계자 죽음 죄명 특검 구속	0	-1
재명이 괴물	0	-1
소리 의논 욕쨍이 거짓말 하늘 용서 가짜 압수 수색	0	-2
주술 소름 내로 남부 법사 지롤 오살 주술 조사	0	-1
기축 통화 로또 당첨 로또 당첨 정상	1	1
국정 능력 선대위 합류	1	1
신동욱 앵커 존경	1	1
역대 최고 사기꾼	1	1
사랑	1	1
코로나 방역 확진자 격리 자극 대화 우편 사전 극대 부정 활용	0	-1
사랑 애국자 화이팅 멸공	1	1
거짓말 거짓말	0	-2
대장 먹튀 주변	0	-1
능력 심판	1	1
감동	1	1
바보	0	-1
친절 확신	1	1
전과 잡범 조폭 절친 범죄 범벅 작자 망조 거짓 구라 궤변 대국민 기망 쇼쇼쇼	0	-1
정치인 밥숟락 싸움 부탁 재벌	0	-1
공무원 오해	0	-1
개소리 모지리 특검 진실 특검 문제 교도소	1	1
공정 평등 직권 남용 도둑 일관 악질 초전 발사 초전 박살	0	-2
스트레스 멀미	0	-1
승리	0	-1
산불 투표소 철거 경상도 강원도 걱정	0	-1
티비 조선 최고	1	1
애국자 김미향씨 사랑 나물	1	1
감기 사기 코로나 애국자	0	-1
바보 소리 정책 공무원 이때 공무원 장만 바보	0	-2
원통	1	1
부동산 악순환	0	-1
성공	1	1
소름	0	-1
지옥 필요 읍지 코로나 대장 선관위 읍지	0	-1
이제 진실 감사	1	2
거짓말	0	-1
거짓말	0	-1
거짓말	0	-1
도둑	0	-1
욕심 사망	0	-1
이좨 욕심	0	-1
거짓말	0	-1
눈물	0	-1
거짓말 의혹	0	-1
한국 수출 의존도 대부분 환율 관리 대상 지정	1	1
정부 실수 역대 최고 낮잠 신뢰 정당	1	1
현명 진심 걱정 마음 헌신 가식 걱정	0	-2
죄명 창피	0	-1
댓글 조작 오른팔 김경수 리틀 이헌욱 변호사 합숙소 사전 각종 짓거리 모의 회의장 법카 공무원 초밥 한우 인분 편안 모의 해외 국내 사용 기생충 리틀 일당 국제 마피아 퍼즐 영화 나르코스네요 좌파 좌파	1	1
감옥	0	-1
존경 근혜	1	1
얼굴 이름 이면 내면 의도 수사 대상 마누라 장모	1	1
품위	1	1
윤미향 여론 분노 코메디	0	-1
짜증 언론사	0	-1
빨갱이 진실 호도	1	1
자체 범죄 사실 전원 법정 최고형	0	-1
소외 노심초사 마음	0	-1
살집 강아지 점주 나이 초딩 수준 망나니 거짓말 초딩	0	-1
선관위 위법	0	-1
악마 편집	0	-1
옛날 장희빈 장녹수 중전 저주	0	-1
휴지 수준 집회 소리 칭찬	1	1
눈물	0	-1
위법 걱정	0	-2
근성 부족	0	-1
전부 살인	0	-1
부정	0	-1
죄명 증거 감옥 당첨	0	-1
부정 감시	0	-1
법관 전임 대통 상식 도덕 민족 빨갱이 공산 사회주의자 거짓말 중공 주의자 주사파 쓰리 척결	0	-1
프레임 재미	1	1
스포 언론 뉴스	0	-1
한국 티비 공포 쇠뇌	0	-1
사기 사전 부정	0	-1
소망	1	1
내일 눈물 잘못 명인 대통 여론 조사	0	-2
살인자 집안 국제 망신 지지자 정신	0	-2
빨갱이 북한 앞잡이 노릇	0	-1
인생 자체 거짓 인생	0	-1
여러분 허경영 시대 한계 공약 정책 천재 신인 시기 공약	0	-1
특권 반칙 세상	1	1
죄명 범죄 비리 폭로 비밀 폭행 협박	0	-3
이죄명써 거짓말 죄명 광주 복합 쇼핑 그때	0	-1
야권 승리	0	-1
젤렌스키 존경	1	1
무속인 주술 오수 인형 오살 사랑	1	1
바보 하와이 줄행랑	0	-1
경호원 숙소 거짓말	0	-1
감옥 선수	0	-1
무효 처리 부정 무효 처리 개표	0	-1
세상 비밀 용기 박수	1	1
인성 품격 보도 내용 비리 카르텔 온상 인물 제왕 시장 지사 공사 구분 사용 공무원 집사 머슴 본인 와이프 시중 왕비 구걸 거짖말 거짖	1	1
공무원 힌트 기생충 남자 친구	1	1
공정 정의 바보 구태 보수 허구 공작	0	-1
꼼수 거짓말	0	-1
소외 노심초사 마음	0	-1
범죄자 사과 구속 수사	0	-1
거짓말	0	-1
집권 업적 북한 핵무기 자금 조달 북한 예산 북한 집권	1	1
거짓말	0	-1
불법 유학 공격	0	-1
진실	1	1
최고	1	1
거짓말	0	-1
